[HGESTRINGTABLE]

;NPC >= 100 < 240 is for bosses
;NPC >= 240 is for fenwar encounters

;=============================================HINTS======================================
Hint0Pages = "5"
Hint0-1 = "Hold on Smiley, let me put down this cigar."
Hint0-2 = "Alright.  You're stuck already?  That's fine.  I'm used to working with people not as smart as myself."
Hint0-3 = "So have you even talked to Jethro?  He told you to go down south of Smiley Town."
Hint0-4 = "I've heard that there's a powerful item in some mysterious cavern down there."
Hint0-5 = "Hope that helped.  I'll see you around."

Hint1Pages = "5"
Hint1-1 = "Hey Smiley.  Stumped again?"
Hint1-2 = "Well it's understandable.  This is a big world we live in...  with a lot of nice looking women in it."
Hint1-3 = "I'm going to be honest, I have no idea what you need to do next."
Hint1-4 = "But, one of my former vice presidents thinks you should help combat global cooling by melting the ice caps with your new fire breath."
Hint1-5 = "The ice caps are located in a mysterious snowplain called Sessaria. I wonder where that is?"

Hint2Pages = "6"
Hint2-1 = "Smiley, buddy!  What's happening?"
Hint2-2 = "I've heard you got a frisbee.  That's pretty cool.  I used to play a lot back in the day, when I wasn't stoned."
Hint2-3 = "You should try hitting stuff with it.  Like Hillary!  Haha just kidding."
Hint2-4 = "But seriously, I'm getting a vision.  You need to go fight an evil tree."
Hint2-5 = "Now where would you be most likely to find an evil tree?  That's your job."
Hint2-6 = "That's all for now.  Adios Smiley."

Hint3Pages = "2"
Hint3-1 = "Smiley.  What's up?  I'm a little busy so let's make this snappy."
Hint3-2 = "South of Olde Towne is a timed switch. You should hit it, and figure out where it leads to!"

Hint4Pages = "7"
Hint4-1 = "Hey man.  I've heard you got lightning orbs now."
Hint4-2 = "Who told me, you ask?  Well, for my own presidential safety I have security cameras installed all over the land."
Hint4-3 = "I know what you're thinking.  Don't worry.  I only have them in the gals' bathrooms."
Hint4-4 = "But anyways, there's only one place I don't have any cameras: The Realm of Despair."
Hint4-5 = "It's located east of the fountain, but Fenwar destroyed the bridge there."
Hint4-6 = "You should use your lightning orbs to find a detour, then help me with my quest for pseudo-omniscience."
Hint4-7 = "Thanks a bunch, dog!"

Hint5Pages = "6"
Hint5-1 = "Dang it, Smiley, do you always need my help?"
Hint5-2 = "If I tell you where to go for every item, you'll never figure it out on your own!"
Hint5-3 = "Alright, alright, stop your sobbing. Inside the Forest of Fundoria is a land of mushrooms!!"
Hint5-4 = "Getting inside is tricky, however."
Hint5-5 = "You should try using your new-fangled force field thing you just got.  That will surely get you in!"
Hint5-6 = "I need to get back to work.  Have fun!"

Hint6Pages = "4"
Hint6-1 = "Smiley.  Remember Lord Phyrebawz?  Fenwar's number one goon?"
Hint6-2 = "Anyways, my all-knowing powers tell me that he's watching over your dear love while Fenwar goes shopping for new drapes!"
Hint6-3 = "Now is your time to strike!  You must hurry!"
Hint6-4 = "He has fled from Smolder Hollow into his true domain in Pools of the Dead."

Hint7Pages = "5"
Hint7-1 = "Oh my God!  You got Jesus' Sandals!  Haha, get it?!"
Hint7-2 = "I'm on my game today, huh buddy?  That's what my girl told me, at least."
Hint7-3 = "I wanted to buy her some chocolates today, but I forgot that there's football on tonight."
Hint7-4 = "Could you pick up some for me?  Thanks a bunch."
Hint7-5 = "There should be somewhere in this game with some, right?"

Hint8Pages = "5"
Hint8-1 = "Good day, Smiley."
Hint8-2 = "I'm glad you finally got the ice breath!"
Hint8-3 = "The other day I was camping in the Swamp of Ill Destiny and a sudden gust of wind blew my campfire into the nearest tree."
Hint8-4 = "I tried to put it out but to no avail.  So I just ran home."
Hint8-5 = "Could you go down there and put it out for me?  If the media finds out, I'll never hear the end of it."

Hint9Pages = "5"
Hint9-1 = "Smiley.  You're nearing the end of your adventure."
Hint9-2 = "That means it's about time you start figuring out things on your own!"
Hint9-3 = "I'm going on vacation soon and my telepathic powers will be turned off.  I'm still debating on where to go."
Hint9-4 = "I heard there are some nice women that go tanning by the Mile River.  Could you check that out for me?"
Hint9-5 = "Where is the Mile River?  Somewhere south.  Take pictures.  *wink*"

Hint10Pages = "4"
Hint10-1 = "Smiley, my boy.  You are becoming quite powerful now."
Hint10-2 = "With Tut's mask you will finally be able to access the Castle of Evil via the Serpentine Path."
Hint10-3 = "But to reach Fenwar himself, you will need one more item."
Hint10-4 = "Good luck!  The most difficult part of your journey awaits you!"

Hint11Pages = "4"
Hint11-1 = "Are you kidding me, Smiley?"
Hint11-2 = "I don't know if you have noticed, but your inventory is completely filled."
Hint11-3 = "Usually in these types of games, that implies you should probably be near the end."
Hint11-4 = "So yeah.  Go defeat Fenwar already.  I know you can do it!"


;=============================================SIGNS======================================
;FOUNTAIN.SMH
Sign1 = "\n\n\nSmiley's house"
Sign2 = "\n\nWelcome to Smiley Town.\nPopulation: 6"
Sign3 = "\n\nStuck?  Trying hitting a switch with your tongue."
Sign4 = "\n\nWatch out for enemies!  Attack them with your tongue to destroy them!"
Sign5 = "\n\nUse springs to hop over obstacles."
Sign6 = "\n\nUse warps like these to travel to other areas instantly!"
Sign7 = "\n\nLook out for ice!  You can't change direction while slipping on it!"
Sign9 = "\n\nThis way to Olde Towne.  Bring plenty of food and, more importantly, water!"
Sign14 = "\n\nAhead are the Sessaria Snow Plains.  Bring your mittens!"
