[HGESTRINGTABLE]

;NPC >= 100 < 240 is for bosses
;NPC >= 240 is for fenwar encounters

GotCane = "You got Bill Clinton's Cane! You can now receive the President's wisdom whenever you wish."
GotFireBreath = "You can now breath fire!  Don't sneeze around a dry forest!"
GotFrisbee = "You got the Frisbee!  Use it to stun enemies and hit far away switches!"
GotSprintBoots = "You got the Sprint Boots!  You can now run as fast as the dickens!"
GotLightningOrb = "You can now shoot lightning orbs!  These projectiles reflect off of mirrors."
GotJesusSandals = "You found Jesus' Sandals. You can now walk on Water!"
GotReflectionShield = "You got the Reflection Shield!  You can now reflect projectiles back towards enemies!"
GotIceBreath = "You got Ice Breath! Your breath is now so cold it can freeze enemies in their tracks!"
GotSillyPad = "You got the Silly Pads! They are so silly that enemies cannot even cross them."
GotShrink = "You got Shrink!  You may now change size at will!"
GotTutsMask = "You got Tut's Mask!  Wearing it makes you invisible to enemies!"
GotHover = "You got Hover!  You can now fly as long as you take off on a hover pad (marked 'H')!"

;=============================================HINTS======================================
Hint0Pages = "5"
Hint0-1 = "Hold on Smiley, let me put down this cigar."
Hint0-2 = "Alright.  You're stuck already?  That's fine.  I'm used to working with people not as smart as myself."
Hint0-3 = "So have you even talked to Jethro?  He told you to go down south of Smiley Town."
Hint0-4 = "I've heard that there's a powerful item in some mysterious cavern down there."
Hint0-5 = "Hope that helped.  I'll see you around."

Hint1Pages = "5"
Hint1-1 = "Hey Smiley.  Stumped again?"
Hint1-2 = "Well it's understandable.  This is a big world we live in...  with a lot of nice looking women in it."
Hint1-3 = "I'm going to be honest, I have no idea what you need to do next."
Hint1-4 = "But, one of my former vice presidents thinks you should help combat global cooling by melting the ice caps with your new fire breath."
Hint1-5 = "So why don't you give that a shot first?  Alright, that's all for now.  Take care!"

Hint2Pages = "6"
Hint2-1 = "Smiley, buddy!  What's happening?"
Hint2-2 = "I've heard you got a frisbee.  That's pretty cool.  I used to play a lot back in the day, when I wasn't stoned."
Hint2-3 = "You should try hitting stuff with it.  Like Hillary!  Haha just kidding."
Hint2-4 = "But seriously, I'm getting a vision.  You need to go fight an evil tree."
Hint2-5 = "Now where would you be most likely to find an evil tree?  That's your job."
Hint2-6 = "That's all for now.  Adios Smiley."

Hint3Pages = "6"
Hint3-1 = "Smiley.  What's up?  I'm a little busy so let's make this snappy."
Hint3-2 = "I'm a little sick of you bugging me.  Why is it always about helping you?!"
Hint3-3 = "... Sorry I'm bad with relationships."
Hint3-4 = "Where to go, you ask?  You should put your new boots to use in the new walk-a-thon to help pay Hillary's debt."
Hint3-5 = "A good place to train would be on a *HOT* hiking trail.  That'll help you lose that baby fat!"
Hint3-6 = "Thanks so much!  I hope to see you at the event!"

Hint4Pages = "7"
Hint4-1 = "Hey man.  I've heard you got lightning orbs now."
Hint4-2 = "Who told me, you ask?  Well, for my own presidential safety I have security cameras installed all over the land."
Hint4-3 = "I know what you're thinking.  Don't worry.  I only have them in the gals' bathrooms."
Hint4-4 = "But anyways, there's only one place I don't have any cameras: The Realm of Despair."
Hint4-5 = "It's located east of the fountain but Fenwar destroyed the bridge there."
Hint4-6 = "You should use your lightning orbs to find a detour, then help me with my quest for pseudo-omniscience."
Hint4-7 = "Thanks a bunch, dog!"

Hint5Pages = "6"
Hint5-1 = "Dickens, Smiley, do you always need my help?"
